METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE
4829,TICKETLESS METER MULTISPACE,FORTITUDE ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Fortitude St between Dunmore Tce & Lang Pde in Auchenflower,6,0,,153.000077,-27.476376,4000218
4830,TICKETLESS METER MULTISPACE,FORTITUDE ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Fortitude St between Dunmore Tce & Lang Pde in Auchenflower,13,0,,152.999552,-27.475827,4000218
4831,TICKETLESS METER MULTISPACE,FORTITUDE ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Fortitude St between Lang Pde & Dunmore Tce in Auchenflower,10,0,,152.999258,-27.475314,4000218
4832,TICKETLESS METER MULTISPACE,KINGSFORD ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Kingsford St between Dunmore Tce & Lang Pde in Auchenflower,6,0,,153.000674,-27.475582,4000219
4833,TICKETLESS METER MULTISPACE,KINGSFORD ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Kingsford St between Dunmore Tce & Lang Pde in Auchenflower,10,0,,152.999981,-27.474854,4000219
4834,TICKETLESS METER MULTISPACE,KINGSFORD ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Kingsford St between Lang Pde & Dunmore Tce in Auchenflower,15,0,,153.000408,-27.475168,4000219
4835,TICKETLESS METER MULTISPACE,LANG PDE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lang Pde between Dunmore Tce & Kingsford St in Auchenflower,9,0,,153.000506,-27.47442,4000220
4836,TICKETLESS METER MULTISPACE,LANG PDE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lang Pde between Kingsford St & Fortitude St in Auchenflower,7,0,,152.999374,-27.474929,4000220
4837,TICKETLESS METER MULTISPACE,LIMA ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lima St between Lang Pde & Dunmore Tce in Auchenflower,5,0,,152.999313,-27.476787,4000217
4838,TICKETLESS METER MULTISPACE,LIMA ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lima St between Lang Pde & Dunmore Tce in Auchenflower,14,0,,152.998626,-27.476076,4000217
4839,TICKETLESS METER MULTISPACE,LIMA ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lima St between Dunmore Tce & Lang Pde in Auchenflower,17,0,,152.998344,-27.47597,4000217
4844,TICKETLESS METER MULTISPACE,HARRIETT ST,AUCHENFLOWER,12,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Harriett St between Dowling St & Ridley St in Auchenflower,10,0,,152.995294,-27.475859,4000206
4845,TICKETLESS METER MULTISPACE,BURT ST,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$1.50,,Burt St between Dowling St & Ridley St in Auchenflower,13,0,,152.994541,-27.475312,4000207
4846,TICKETLESS METER MULTISPACE,BURT ST,AUCHENFLOWER,12,NONE,MON-FRI,7AM-7PM,"Zone 3, 15 min free",$0.70,,Burt St between Dowling St & Ridley St in Auchenflower,9,0,,152.994962,-27.474991,4000208
